gwcode,internal_confl,internal_confl_major,internal_confl_minor,internal_confl_part,internal_confl_part_major,internal_confl_part_minor,war,war_major,war_minor,any_conflict,any_conflict_major,any_conflict_minor,ext_conf,ext_conf_major,ext_conf_minor,year
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1946
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1947
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1948
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949
2,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1950
2,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1951
2,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1952
2,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1953
2,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1954
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1955
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1956
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1957
2,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1958
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1959
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1960
2,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1961
2,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1962
2,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1963
2,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1964
2,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1965
2,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1966
2,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1967
2,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1968
2,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1969
2,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1970
2,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1971
2,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1972
2,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1973
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1976
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1977
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1979
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1982
2,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1983
2,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1984
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988
2,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1989
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990
2,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1991
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
2,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1999
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
2,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,2001
2,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,2002
2,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,2003
2,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,2004
2,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,2005
2,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,2006
2,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,2007
2,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,2008
2,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,2009
2,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,2010
2,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,2011
2,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,2012
2,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,2013
2,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,2014
2,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,2015
2,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,2016
2,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,2017
2,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,2018
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1946
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1947
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1948
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949
20,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1950
20,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1951
20,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1952
20,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1953
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1954
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1955
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1956
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1957
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1958
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1959
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1960
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1961
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1963
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1964
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1965
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1966
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1967
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1968
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1969
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1972
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1973
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1976
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1977
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1979
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1982
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1983
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989
