"gwcode","date","year","epr_groups","epr_elf","epr_excluded_groups_count","epr_excluded_group_pop","epr_inpower_groups_count","epr_inpower_groups_pop","epr_regaut_groups_count","epr_regaut_group_pop"
2,1946-01-01,1946,6,0.50985648,2,0.1318,4,0.8562,1,0.0078
20,1946-01-01,1946,3,0.4269,1,0.02,2,0.87,2,0.87
40,1946-01-01,1946,2,0.539762,1,0.359,1,0.641,0,0
41,1946-01-01,1946,1,1,0,0,1,1,0,0
42,1946-01-01,1946,1,1,0,0,1,1,0,0
70,1946-01-01,1946,4,0.664314,3,0.199,1,0.801,0,0
90,1946-01-01,1946,4,0.495638,1,0.515,3,0.485,0,0
91,1946-01-01,1946,3,0.833256,1,0.016,2,0.98,0,0
92,1946-01-01,1946,2,0.82,1,0.1,1,0.9,0,0
93,1946-01-01,1946,4,0.748929,3,0.127,1,0.86,0,0
94,1946-01-01,1946,3,0.707229,2,0.102,1,0.837,0,0
95,1946-01-01,1946,5,0.661434,2,0.155,3,0.843,1,0.015
100,1946-01-01,1946,3,0.586956,1,0.034,2,0.96,0,0
101,1946-01-01,1946,3,0.735458,0,0,3,1,0,0
130,1946-01-01,1946,4,0.6734,3,0.19,1,0.81,0,0
135,1946-01-01,1946,4,0.403365,3,0.423,1,0.52,0,0
140,1946-01-01,1946,3,0.494116,0,0,3,0.994,0,0
145,1946-01-01,1946,4,0.3276,3,0.59,1,0.41,0,0
150,1946-01-01,1946,2,0.893425,1,0.02,1,0.945,0,0
155,1946-01-01,1946,3,0.83395,2,0.09,1,0.91,0,0
160,1946-01-01,1946,2,0.941125,1,0.015,1,0.97,0,0
165,1946-01-01,1946,2,0.830548,0,0,2,0.986,0,0
200,1946-01-01,1946,7,0.675039,2,0.022,5,0.977,1,0.01
205,1946-01-01,1946,1,1,0,0,1,1,0,0
210,1946-01-01,1946,1,1,0,0,1,1,0,0
211,1946-01-01,1946,3,0.5082,0,0,3,1,0,0
212,1946-01-01,1946,1,1,0,0,1,1,0,0
220,1946-01-01,1946,4,0.952644,2,0.01,2,0.98,0,0
