gwcode,year,NY.GDP.MKTP.KD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,NY.GDP.PCAP.KD.ZG,date
2,1950,2134344911777.1711,3.9559354182013995,13440.087169987777,0,1950-12-31
20,1950,195083747867.98322,3.790757795357497,14205.056246659293,1.394372306617519,1950-12-31
40,1950,13977912030.875439,0.8965154798325458,2361.1365808837,0.23403327619923203,1950-12-31
41,1950,3498384494.859729,1.119917507738889,1086.0220896021024,1.0781001135115684,1950-12-31
42,1950,2075750481.030759,0,877.824189513882,0,1950-12-31
70,1950,76559143427.53572,6.5882016198993,2733.0290660513233,3.8277616537140284,1950-12-31
90,1950,4360806908.302855,1.1634411384979044,1399.9573375500383,-0.3249646823217788,1950-12-31
91,1950,1699155272.1480908,0,1098.5510486344629,0,1950-12-31
92,1950,12702297832.621248,0,5774.039447565864,-2.4952846421277,1950-12-31
93,1950,1574166777.9543738,1.2700956728385313,1215.5803108856069,0.365367483758513,1950-12-31
94,1950,1623728180.4363987,8.3187813655652,1692.273727780133,0,1950-12-31
95,1950,1539484787.7748096,-0.049430775852520925,1790.8086668956057,-0.8394313027110005,1950-12-31
100,1950,20399704120.116158,4.102862500797238,1653.0160501367168,-3.2808768584140573,1950-12-31
101,1950,47062619600.60323,10.063216159325734,8584.970534468259,3.1652165821431986,1950-12-31
130,1950,4926436636.558204,15.248592551609907,1419.6573230673878,8.423223779090922,1950-12-31
135,1950,20948728977.959225,1.9188111673797106,2710.8501635743705,1.167341967932393,1950-12-31
140,1950,141048525678.76837,4.560017539449483,2613.2326792927183,1.5082813106659039,1950-12-31
145,1950,5340157988.410998,0.6756636272576646,1728.4044801284672,-1.2068532542731711,1950-12-31
150,1950,1895171506.8940876,-6.8399028896112055,1286.3856424484372,-7.663668856559737,1950-12-31
155,1950,18184094237.192135,0,2938.471188004968,0,1950-12-31
160,1950,121707973140.16216,0,7096.535784497875,0,1950-12-31
165,1950,9696359335.991325,10.313818848755506,4331.618947803749,10.119608971804476,1950-12-31
200,1950,561899456630.6189,1.3195724873940227,11101.21900611571,1.4647116190140799,1950-12-31
205,1950,23404036430.744114,2.490698410424623,8034.084881857227,0.6332138319509485,1950-12-31
210,1950,119974308980.84378,4.866099603150769,11947.201279743951,3.4154370934547393,1950-12-31
211,1950,88409003398.26872,3.738386418320947,10235.462683007554,3.1558230580843176,1950-12-31
212,1950,7142929924.260451,1.6214225976270344,24131.438489263386,1.5225165750926068,1950-12-31
220,1950,374165572121.61346,4.83094059010752,8934.314736770164,4.005041382656925,1950-12-31
221,1950,1174060646.7789176,4.1143405058570846,58714.77529400468,3.0784101367095977,1950-12-31
223,1950,1086620927.295491,4.20065149261333,78981.02393483726,1.2474463557500906,1950-12-31
225,1950,143861856761.44766,5.715824461361085,30818.167609047403,2.566418298372225,1950-12-31
230,1950,146474364152.91266,15.491744858364488,5218.231100254871,14.780646076962242,1950-12-31
232,1950,343441505.70579976,8.74662918028097,55429.552244318875,1.4991250311108866,1950-12-31
235,1950,27600343972.17672,7.380258161817235,3279.13177896227,6.626062305880993,1950-12-31
260,1950,392205298151.24335,7.606310249432566,5605.636108705213,8.310711065670175,1950-12-31
265,1950,102635840905.73091,0,5581.614345380783,0.20271374856956612,1950-12-31
290,1950,68094356213.0622,3.017233371828283,2743.083581919019,2.259497880345985,1950-12-31
305,1950,59198276249.83705,4.799806283581552,8534.39008832011,4.603968230655843,1950-12-31
310,1950,24888612409.44158,5.703401563685484,2665.3834569135947,4.530373050631061,1950-12-31
315,1950,46504086130.05769,0,3768.811290889849,0,1950-12-31
325,1950,369068302603.1277,4.593799419350491,7920.158431432903,3.8300073513101247,1950-12-31
331,1950,615305358.5300832,4.928943486062938,48142.19220171216,2.614167296089542,1950-12-31
339,1950,744134639.6847773,2.3621666128555354,589.0990787371948,1.8176472675720359,1950-12-31
345,1950,25186583507.63309,3.706644612741284,1538.945961165953,0,1950-12-31
350,1950,35597084754.371124,9.314207839428082,4641.810010070831,8.233057812627539,1950-12-31
355,1950,10926969657.250917,0,1506.960579811267,0,1950-12-31
360,1950,28294129281.521255,0,1742.6468008172096,-1.0905698645766968,1950-12-31
365,1950,607924725176.7273,0.10331370210917593,3402.038386576066,-1.4242079412849977,1950-12-31
375,1950,31638830099.211864,12.785610041049464,7893.340682896979,11.610610270030978,1950-12-31
