"gwcode","year","state_age"
2,1816,1
2,1817,2
2,1818,3
2,1819,4
2,1820,5
2,1821,6
2,1822,7
2,1823,8
2,1824,9
2,1825,10
2,1826,11
2,1827,12
2,1828,13
2,1829,14
2,1830,15
2,1831,16
2,1832,17
2,1833,18
2,1834,19
2,1835,20
2,1836,21
2,1837,22
2,1838,23
2,1839,24
2,1840,25
2,1841,26
2,1842,27
2,1843,28
2,1844,29
2,1845,30
2,1846,31
2,1847,32
2,1848,33
2,1849,34
2,1850,35
2,1851,36
2,1852,37
2,1853,38
2,1854,39
2,1855,40
2,1856,41
2,1857,42
2,1858,43
2,1859,44
2,1860,45
2,1861,46
2,1862,47
2,1863,48
2,1864,49
2,1865,50
2,1866,51
2,1867,52
2,1868,53
2,1869,54
2,1870,55
2,1871,56
2,1872,57
2,1873,58
2,1874,59
2,1875,60
2,1876,61
2,1877,62
2,1878,63
2,1879,64
2,1880,65
2,1881,66
2,1882,67
2,1883,68
2,1884,69
2,1885,70
2,1886,71
2,1887,72
2,1888,73
2,1889,74
2,1890,75
2,1891,76
2,1892,77
2,1893,78
2,1894,79
2,1895,80
2,1896,81
2,1897,82
2,1898,83
2,1899,84
2,1900,85
2,1901,86
2,1902,87
2,1903,88
2,1904,89
2,1905,90
2,1906,91
2,1907,92
2,1908,93
2,1909,94
2,1910,95
2,1911,96
2,1912,97
2,1913,98
2,1914,99
2,1915,100
2,1916,101
2,1917,102
2,1918,103
2,1919,104
2,1920,105
2,1921,106
2,1922,107
2,1923,108
2,1924,109
2,1925,110
2,1926,111
2,1927,112
2,1928,113
2,1929,114
2,1930,115
2,1931,116
2,1932,117
2,1933,118
2,1934,119
2,1935,120
2,1936,121
2,1937,122
2,1938,123
2,1939,124
2,1940,125
2,1941,126
2,1942,127
2,1943,128
2,1944,129
2,1945,130
2,1946,131
2,1947,132
2,1948,133
2,1949,134
2,1950,135
2,1951,136
2,1952,137
2,1953,138
2,1954,139
2,1955,140
2,1956,141
2,1957,142
2,1958,143
2,1959,144
2,1960,145
2,1961,146
2,1962,147
2,1963,148
2,1964,149
2,1965,150
2,1966,151
2,1967,152
2,1968,153
2,1969,154
2,1970,155
2,1971,156
2,1972,157
2,1973,158
2,1974,159
2,1975,160
2,1976,161
2,1977,162
2,1978,163
2,1979,164
2,1980,165
2,1981,166
2,1982,167
2,1983,168
2,1984,169
2,1985,170
2,1986,171
2,1987,172
2,1988,173
2,1989,174
2,1990,175
2,1991,176
2,1992,177
2,1993,178
2,1994,179
2,1995,180
2,1996,181
2,1997,182
2,1998,183
2,1999,184
2,2000,185
2,2001,186
2,2002,187
2,2003,188
2,2004,189
2,2005,190
2,2006,191
2,2007,192
2,2008,193
2,2009,194
2,2010,195
2,2011,196
2,2012,197
2,2013,198
2,2014,199
2,2015,200
2,2016,201
2,2017,202
2,2018,203
2,2019,204
20,1867,1
20,1868,2
20,1869,3
20,1870,4
20,1871,5
20,1872,6
20,1873,7
20,1874,8
20,1875,9
20,1876,10
20,1877,11
20,1878,12
20,1879,13
20,1880,14
20,1881,15
20,1882,16
20,1883,17
20,1884,18
20,1885,19
20,1886,20
20,1887,21
20,1888,22
20,1889,23
20,1890,24
20,1891,25
20,1892,26
20,1893,27
20,1894,28
20,1895,29
20,1896,30
20,1897,31
20,1898,32
20,1899,33
20,1900,34
20,1901,35
20,1902,36
20,1903,37
20,1904,38
20,1905,39
20,1906,40
20,1907,41
20,1908,42
20,1909,43
20,1910,44
20,1911,45
20,1912,46
20,1913,47
20,1914,48
20,1915,49
20,1916,50
20,1917,51
20,1918,52
20,1919,53
20,1920,54
20,1921,55
20,1922,56
20,1923,57
20,1924,58
20,1925,59
20,1926,60
20,1927,61
20,1928,62
20,1929,63
20,1930,64
20,1931,65
20,1932,66
20,1933,67
20,1934,68
20,1935,69
20,1936,70
20,1937,71
20,1938,72
20,1939,73
20,1940,74
20,1941,75
20,1942,76
20,1943,77
20,1944,78
20,1945,79
20,1946,80
20,1947,81
20,1948,82
20,1949,83
20,1950,84
20,1951,85
20,1952,86
20,1953,87
20,1954,88
20,1955,89
20,1956,90
20,1957,91
20,1958,92
20,1959,93
20,1960,94
20,1961,95
20,1962,96
20,1963,97
20,1964,98
20,1965,99
20,1966,100
20,1967,101
20,1968,102
20,1969,103
20,1970,104
20,1971,105
20,1972,106
20,1973,107
20,1974,108
20,1975,109
20,1976,110
20,1977,111
20,1978,112
20,1979,113
20,1980,114
20,1981,115
20,1982,116
20,1983,117
20,1984,118
20,1985,119
20,1986,120
20,1987,121
20,1988,122
20,1989,123
20,1990,124
20,1991,125
20,1992,126
20,1993,127
20,1994,128
20,1995,129
20,1996,130
20,1997,131
20,1998,132
20,1999,133
20,2000,134
20,2001,135
20,2002,136
20,2003,137
20,2004,138
20,2005,139
20,2006,140
20,2007,141
20,2008,142
20,2009,143
20,2010,144
20,2011,145
20,2012,146
20,2013,147
20,2014,148
20,2015,149
20,2016,150
20,2017,151
20,2018,152
20,2019,153
31,1973,1
31,1974,2
31,1975,3
31,1976,4
31,1977,5
31,1978,6
31,1979,7
31,1980,8
31,1981,9
31,1982,10
31,1983,11
31,1984,12
31,1985,13
31,1986,14
31,1987,15
31,1988,16
31,1989,17
31,1990,18
31,1991,19
31,1992,20
31,1993,21
31,1994,22
31,1995,23
31,1996,24
31,1997,25
31,1998,26
31,1999,27
31,2000,28
31,2001,29
31,2002,30
31,2003,31
31,2004,32
31,2005,33
31,2006,34
31,2007,35
31,2008,36
31,2009,37
31,2010,38
31,2011,39
31,2012,40
31,2013,41
31,2014,42
31,2015,43
31,2016,44
31,2017,45
31,2018,46
31,2019,47
40,1902,1
40,1903,2
40,1904,3
40,1905,4
40,1906,5
40,1907,6
40,1908,7
40,1909,8
40,1910,9
40,1911,10
40,1912,11
40,1913,12
40,1914,13
40,1915,14
40,1916,15
40,1917,16
40,1918,17
40,1919,18
40,1920,19
40,1921,20
40,1922,21
40,1923,22
40,1924,23
40,1925,24
40,1926,25
40,1927,26
40,1928,27
40,1929,28
40,1930,29
40,1931,30
40,1932,31
40,1933,32
40,1934,33
40,1935,34
40,1936,35
40,1937,36
40,1938,37
40,1939,38
40,1940,39
40,1941,40
40,1942,41
40,1943,42
40,1944,43
40,1945,44
40,1946,45
40,1947,46
40,1948,47
40,1949,48
40,1950,49
40,1951,50
40,1952,51
40,1953,52
40,1954,53
40,1955,54
40,1956,55
40,1957,56
40,1958,57
40,1959,58
40,1960,59
40,1961,60
40,1962,61
40,1963,62
40,1964,63
40,1965,64
40,1966,65
40,1967,66
40,1968,67
40,1969,68
40,1970,69
40,1971,70
40,1972,71
40,1973,72
40,1974,73
40,1975,74
40,1976,75
40,1977,76
40,1978,77
40,1979,78
40,1980,79
40,1981,80
40,1982,81
40,1983,82
40,1984,83
40,1985,84
40,1986,85
40,1987,86
40,1988,87
40,1989,88
40,1990,89
40,1991,90
40,1992,91
40,1993,92
40,1994,93
40,1995,94
40,1996,95
40,1997,96
40,1998,97
40,1999,98
40,2000,99
40,2001,100
40,2002,101
40,2003,102
40,2004,103
40,2005,104
40,2006,105
40,2007,106
40,2008,107
40,2009,108
40,2010,109
40,2011,110
40,2012,111
40,2013,112
40,2014,113
40,2015,114
40,2016,115
40,2017,116
40,2018,117
40,2019,118
41,1816,1
41,1817,2
41,1818,3
41,1819,4
41,1820,5
41,1821,6
41,1822,7
41,1823,8
41,1824,9
41,1825,10
41,1826,11
41,1827,12
41,1828,13
41,1829,14
41,1830,15
41,1831,16
41,1832,17
41,1833,18
41,1834,19
41,1835,20
41,1836,21
41,1837,22
41,1838,23
41,1839,24
41,1840,25
41,1841,26
41,1842,27
41,1843,28
41,1844,29
41,1845,30
41,1846,31
41,1847,32
41,1848,33
41,1849,34
41,1850,35
41,1851,36
41,1852,37
41,1853,38
41,1854,39
41,1855,40
41,1856,41
41,1857,42
41,1858,43
41,1859,44
41,1860,45
41,1861,46
