gwcode,year,pop
2,1950,158804.395
2,1951,160905.035
2,1952,163324.851
2,1953,165988.19
2,1954,168827.613
2,1955,171783.842
2,1956,174805.941
2,1957,177851.156
2,1958,180884.458
2,1959,183877.873
2,1960,186808.228
2,1961,189654.905
2,1962,192397.741
2,1963,195016.211
2,1964,197491.844
2,1965,199815.54
2,1966,201975.222
2,1967,203981.928
2,1968,205880.418
2,1969,207733.004
2,1970,209588.15
2,1971,211461.598
2,1972,213351.773
2,1973,215268.687
2,1974,217218.393
2,1975,219205.296
2,1976,221239.215
2,1977,223324.042
2,1978,225449.657
2,1979,227599.878
2,1980,229763.052
2,1981,231938.963
2,1982,234132.632
2,1983,236344.004
2,1984,238573.861
2,1985,240824.12
2,1986,243098.935
2,1987,245402.864
2,1988,247739.582
2,1989,250113.187
2,1990,252529.95
2,1991,254974.819
2,1992,257454.273
2,1993,260020.186
2,1994,262741.566
2,1995,265658.849
2,1996,268803.424
2,1997,272136.551
2,1998,275542.603
2,1999,278862.277
2,2e3,281982.778
2,2001,284852.391
2,2002,287506.847
2,2003,290027.624
2,2004,292539.324
2,2005,295129.501
2,2006,297827.356
2,2007,300595.175
2,2008,303374.067
2,2009,306076.362
2,2010,308641.391
2,2011,311051.373
2,2012,313335.423
2,2013,315536.676
2,2014,317718.779
2,2015,319929.162
2,2016,322179.605
2,2017,324459.463
2,2018,326766.748
2,2019,329093.11
20,1950,13733.402
20,1951,14098.675
20,1952,14482.057
20,1953,14884.172
20,1954,15303.889
20,1955,15738.362
20,1956,16182.877
20,1957,16630.976
20,1958,17074.869
20,1959,17506.053
20,1960,17917.236
20,1961,18304.387
20,1962,18668.576
20,1963,19016.655
20,1964,19359.165
20,1965,19703.883
20,1966,20051.96
20,1967,20401.082
20,1968,20751.373
20,1969,21102.23
20,1970,21452.737
20,1971,21804.269
20,1972,22156.208
20,1973,22503.243
20,1974,22838.19
20,1975,23156.209
20,1976,23456.507
20,1977,23741.589
20,1978,24014.082
20,1979,24278.047
20,1980,24537.422
20,1981,24791.139
20,1982,25040.948
20,1983,25296.84
20,1984,25571.673
20,1985,25873.949
20,1986,26208.08
20,1987,26569.766
20,1988,26947.842
20,1989,27326.166
20,1990,27692.68
20,1991,28044.606
20,1992,28384.35
20,1993,28711.303
20,1994,29026.188
20,1995,29330.073
20,1996,29622.132
20,1997,29903.15
20,1998,30178.134
20,1999,30453.884
20,2e3,30735.773
20,2001,31024.732
20,2002,31320.889
20,2003,31627.806
20,2004,31949.417
20,2005,32287.98
20,2006,32645.483
20,2007,33019.932
20,2008,33404.548
20,2009,33789.831
20,2010,34168.668
20,2011,34538.622
20,2012,34900.705
20,2013,35255.495
20,2014,35604.728
20,2015,35949.709
20,2016,36289.822
20,2017,36624.199
20,2018,36953.765
20,2019,37279.811
31,1973,181.488
31,1974,185.099
31,1975,188.882
31,1976,192.902
31,1977,197.111
31,1978,201.513
31,1979,206.032
31,1980,210.661
31,1981,215.396
31,1982,220.275
31,1983,225.187
31,1984,230.015
31,1985,234.687
31,1986,239.131
31,1987,243.393
31,1988,247.579
31,1989,251.849
31,1990,256.336
31,1991,261.116
31,1992,266.134
31,1993,271.165
31,1994,275.895
31,1995,280.15
31,1996,283.79
31,1997,286.97
31,1998,290.06
31,1999,293.572
31,2e3,297.89
31,2001,303.135
31,2002,309.157
31,2003,315.746
31,2004,322.526
31,2005,329.249
31,2006,335.83
31,2007,342.328
31,2008,348.676
31,2009,354.856
31,2010,360.832
31,2011,366.568
31,2012,372.039
31,2013,377.24
31,2014,382.169
31,2015,386.838
31,2016,391.232
31,2017,395.361
31,2018,399.285
31,2019,403.095
40,1950,5919.993
40,1951,6051.291
40,1952,6180.031
40,1953,6304.523
40,1954,6424.172
40,1955,6539.469
40,1956,6652.09
40,1957,6764.786
40,1958,6881.21
40,1959,7005.481
40,1960,7141.135
40,1961,7289.826
40,1962,7450.402
40,1963,7618.354
40,1964,7787.146
40,1965,7951.933
40,1966,8110.43
40,1967,8263.546
40,1968,8413.327
40,1969,8563.193
40,1970,8715.123
40,1971,8869.961
40,1972,9025.3
40,1973,9176.052
40,1974,9315.373
40,1975,9438.442
40,1976,9544.271
40,1977,9634.68
40,1978,9711.392
40,1979,9777.29
40,1980,9835.177
40,1981,9884.213
40,1982,9925.623
40,1983,9966.733
40,1984,10017.059
40,1985,10082.989
40,1986,10168.087
40,1987,10269.567
40,1988,10379.548
40,1989,10486.509
40,1990,10582.081
40,1991,10663.585
40,1992,10733.363
40,1993,10794.135
40,1994,10850.585
40,1995,10906.043
40,1996,10961.012
40,1997,11013.983
40,1998,11064.097
40,1999,11110.004
40,2e3,11150.736
40,2001,11186.542
40,2002,11217.998
40,2003,11244.885
40,2004,11266.941
40,2005,11284.253
40,2006,11296.233
40,2007,11303.687
40,2008,11309.754
40,2009,11318.602
40,2010,11333.051
40,2011,11354.651
40,2012,11382.146
40,2013,11412.167
40,2014,11439.767
40,2015,11461.432
40,2016,11475.982
40,2017,11484.636
40,2018,11489.082
40,2019,11492.046
41,1950,3221.283
41,1951,3275.366
41,1952,3331.58
41,1953,3390.05
41,1954,3450.85
41,1955,3514.074
41,1956,3579.725
41,1957,3647.809
41,1958,3718.283
41,1959,3791.097
41,1960,3866.159
41,1961,3943.364
41,1962,4022.593
41,1963,4103.73
41,1964,4186.64
41,1965,4271.133
41,1966,4357.484
41,1967,4445.53
41,1968,4534.234
41,1969,4622.208
41,1970,4708.642
41,1971,4793.155
41,1972,4876.56
41,1973,4960.657
41,1974,5047.944
41,1975,5140.357
41,1976,5238.245
41,1977,5341.419
41,1978,5450.549
41,1979,5566.266
41,1980,5688.836
41,1981,5818.671
41,1982,5955.267
41,1983,6096.692
41,1984,6240.329
41,1985,6384.195
41,1986,6527.543
41,1987,6670.568
41,1988,6813.348
41,1989,6956.3
41,1990,7099.732
41,1991,7243.391
41,1992,7386.975
41,1993,7530.705
41,1994,7674.911
41,1995,7819.806
41,1996,7965.553
41,1997,8111.951
41,1998,8258.483
41,1999,8404.398
41,2e3,8549.2
41,2001,8692.567
41,2002,8834.733
41,2003,8976.552
41,2004,9119.178
41,2005,9263.404
41,2006,9409.457
41,2007,9556.889
41,2008,9705.029
41,2009,9852.87
41,2010,9999.617
41,2011,10145.054
41,2012,10289.21
41,2013,10431.776
41,2014,10572.466
41,2015,10711.061
41,2016,10847.334
41,2017,10981.229
41,2018,11112.945
41,2019,11242.856
42,1950,2364.654
42,1951,2438.405
42,1952,2517.259
42,1953,2600.798
42,1954,2688.698
42,1955,2780.652
42,1956,2876.428
42,1957,2975.807
42,1958,3078.629
42,1959,3184.757
42,1960,3294.042
42,1961,3406.299
42,1962,3521.278
42,1963,3638.628
42,1964,3757.956
42,1965,3878.948
42,1966,4001.375
42,1967,4125.109
42,1968,4250.025
42,1969,4376.054
42,1970,4503.114
42,1971,4631.114
42,1972,4759.934
42,1973,4889.436
42,1974,5019.473
42,1975,5149.935
42,1976,5280.723
42,1977,5411.865
42,1978,5543.517
42,1979,5675.931
42,1980,5809.269
42,1981,5943.591
42,1982,6078.82
42,1983,6214.857
42,1984,6351.572
42,1985,6488.856
42,1986,6626.542
42,1987,6764.624
42,1988,6903.316
42,1989,7042.937
42,1990,7183.647
42,1991,7325.622
42,1992,7468.551
42,1993,7611.465
42,1994,7753.052
42,1995,7892.423
42,1996,8029.113
42,1997,8163.472
42,1998,8296.375
42,1999,8429.112
42,2e3,8562.622
42,2001,8697.126
42,2002,8832.285
42,2003,8967.76
42,2004,9102.998
42,2005,9237.566
42,2006,9371.338
42,2007,9504.353
42,2008,9636.52
42,2009,9767.758
42,2010,9897.985
42,2011,10027.095
42,2012,10154.95
42,2013,10281.296
42,2014,10405.844
42,2015,10528.394
42,2016,10648.791
42,2017,10766.998
42,2018,10882.996
42,2019,10996.774
51,1962,1676.25
51,1963,1703.395
51,1964,1730.486
51,1965,1756.266
51,1966,1780.264
51,1967,1803.064
51,1968,1825.633
51,1969,1849.414
51,1970,1875.381
51,1971,1904.016
51,1972,1934.828
51,1973,1966.7
51,1974,1998.034
51,1975,2027.737
51,1976,2055.085
51,1977,2080.538
51,1978,2105.664
51,1979,2132.69
51,1980,2163.045
51,1981,2197.583
51,1982,2235.327
51,1983,2273.666
51,1984,2308.947
51,1985,2338.638
51,1986,2361.72
51,1987,2379.279
51,1988,2393.534
51,1989,2407.72
51,1990,2424.242
51,1991,2443.689
51,1992,2465.362
51,1993,2488.782
51,1994,2513.049
51,1995,2537.44
51,1996,2561.993
51,1997,2586.827
51,1998,2611.367
51,1999,2634.882
51,2e3,2656.864
51,2001,2677.011
51,2002,2695.446
51,2003,2712.511
51,2004,2728.777
51,2005,2744.673
51,2006,2760.279
51,2007,2775.467
51,2008,2790.122
51,2009,2804.082
51,2010,2817.21
51,2011,2829.493
51,2012,2840.992
51,2013,2851.807
51,2014,2862.087
51,2015,2871.934
51,2016,2881.355
51,2017,2890.299
51,2018,2898.677
51,2019,2906.339
52,1962,880.023
52,1963,892.569
52,1964,903.275
52,1965,912.417
52,1966,919.903
52,1967,925.909
52,1968,931.468
52,1969,937.848
52,1970,945.993
52,1971,956.366
52,1972,968.741
52,1973,982.592
52,1974,997.053
52,1975,1011.49
52,1976,1025.658
52,1977,1039.761
52,1978,1054.116
52,1979,1069.202
52,1980,1085.308
52,1981,1102.556
52,1982,1120.611
52,1983,1138.676
52,1984,1155.695
52,1985,1170.928
52,1986,1184.051
52,1987,1195.247
52,1988,1204.893
52,1989,1213.624
52,1990,1221.9
52,1991,1229.907
52,1992,1237.487
52,1993,1244.407
52,1994,1250.318
52,1995,1255.001
52,1996,1258.364
52,1997,1260.678
52,1998,1262.542
52,1999,1264.775
52,2e3,1267.984
52,2001,1272.38
52,2002,1277.837
52,2003,1284.052
52,2004,1290.535
52,2005,1296.934
52,2006,1303.144
52,2007,1309.26
52,2008,1315.372
52,2009,1321.618
52,2010,1328.1
52,2011,1334.788
52,2012,1341.588
52,2013,1348.248
52,2014,1354.493
52,2015,1360.092
52,2016,1364.962
52,2017,1369.125
52,2018,1372.598
52,2019,1375.443
53,1966,236.044
53,1967,236.621
53,1968,237.199
53,1969,237.913
53,1970,238.848
53,1971,240.035
53,1972,241.441
53,1973,242.976
53,1974,244.539
53,1975,246.034
53,1976,247.444
53,1977,248.784
53,1978,250.032
53,1979,251.177
53,1980,252.194
53,1981,253.08
53,1982,253.841
53,1983,254.518
53,1984,255.193
53,1985,255.924
53,1986,256.736
53,1987,257.611
53,1988,258.527
53,1989,259.458
53,1990,260.374
53,1991,261.275
53,1992,262.184
53,1993,263.089
