"gwcode","year","pt_attempt","pt_attempt_num","pt_coup_num","pt_coup","pt_failed_num","pt_failed","pt_coup_total","pt_failed_total","pt_attempt_total","pt_coup_num5yrs","pt_failed_num5yrs","pt_attempt_num5yrs","pt_coup_num10yrs","pt_failed_num10yrs","pt_attempt_num10yrs","years_since_last_pt_coup","years_since_last_pt_failed","years_since_last_pt_attempt"
2,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2,1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
2,1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
2,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
2,1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
2,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
2,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7
2,1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8
2,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9
2,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10
2,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11
2,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12
2,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13
2,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14
2,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15
2,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16
2,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17
2,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18
2,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19
2,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20
2,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21
2,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22
2,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23
2,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24
2,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25
2,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,26
2,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,27
2,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,28
2,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,29
2,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30
2,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,31
2,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,32
2,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,33
2,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,34
2,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,35
2,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36
2,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,37
2,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,38
2,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,39
2,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40
2,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,41
2,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,42
2,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,43
2,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,44
2,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45
2,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,46
2,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,47
2,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,48
2,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,49
2,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50
2,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,51
2,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,52
2,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,53
2,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,54
2,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,55
2,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,56
2,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57,57
2,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,58
2,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,59
2,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,60
2,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,61
2,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,62
2,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63,63
2,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,64
2,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,65
2,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,66
2,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,67
2,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,68
2,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,69
2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,70
20,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
20,1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
20,1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
20,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
20,1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
20,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
20,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7
20,1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8
20,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9
20,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10
20,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11
20,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12
20,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13
20,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14
20,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15
20,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16
20,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17
20,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18
20,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19
20,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20
20,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21
20,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22
20,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23
20,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24
20,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25
20,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,26
20,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,27
20,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,28
20,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,29
20,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30
20,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,31
20,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,32
20,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,33
20,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,34
20,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,35
20,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36
20,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,37
20,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,38
20,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,39
20,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40
20,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,41
20,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,42
20,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,43
20,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,44
20,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45
20,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,46
20,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,47
20,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,48
20,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,49
20,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50
20,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,51
20,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,52
20,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,53
20,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,54
20,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,55
20,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,56
20,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57,57
20,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,58
20,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,59
20,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,60
20,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,61
20,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,62
20,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63,63
20,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,64
20,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,65
20,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,66
20,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,67
20,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,68
20,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,69
20,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,70
31,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
31,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
31,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
31,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
31,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
31,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
31,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7
31,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8
31,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9
31,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10
31,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11
31,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12
31,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13
31,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14
31,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15
31,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16
31,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17
31,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18
31,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19
31,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20
31,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21
31,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22
31,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23
31,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24
31,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25
31,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,26
31,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,27
31,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,28
31,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,29
31,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30
31,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,31
31,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,32
31,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,33
31,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,34
31,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,35
31,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36
31,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,37
31,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,38
31,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,39
31,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40
31,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,41
31,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,42
31,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,43
31,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,44
31,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45
31,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,46
31,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,47
40,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
40,1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
40,1952,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,3,0
40,1953,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,4,1
40,1954,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,2,5,2
40,1955,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,3,6,3
40,1956,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,4,7,4
40,1957,1,1,0,0,1,1,1,1,1,0,1,1,1,1,2,5,0,0
40,1958,0,0,0,0,0,0,1,1,1,0,1,1,1,1,2,6,1,1
40,1959,0,0,0,0,0,0,1,1,1,0,1,1,1,1,2,7,2,2
40,1960,0,0,0,0,0,0,1,1,1,0,1,1,1,1,2,8,3,3
40,1961,0,0,0,0,0,0,1,1,1,0,1,1,1,1,2,9,4,4
40,1962,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,10,5,5
40,1963,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,11,6,6
40,1964,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,12,7,7
40,1965,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,13,8,8
40,1966,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,14,9,9
40,1967,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,15,10,10
40,1968,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,16,11,11
40,1969,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,17,12,12
40,1970,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,18,13,13
40,1971,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,19,14,14
40,1972,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,20,15,15
40,1973,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,21,16,16
40,1974,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,22,17,17
40,1975,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,23,18,18
40,1976,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,24,19,19
40,1977,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,25,20,20
40,1978,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,26,21,21
40,1979,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,27,22,22
40,1980,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,28,23,23
40,1981,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,29,24,24
40,1982,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,30,25,25
40,1983,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,31,26,26
40,1984,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,32,27,27
40,1985,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,33,28,28
40,1986,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,34,29,29
40,1987,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,35,30,30
40,1988,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,36,31,31
40,1989,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,37,32,32
40,1990,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,38,33,33
40,1991,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,39,34,34
40,1992,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,40,35,35
40,1993,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,41,36,36
40,1994,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,42,37,37
40,1995,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,43,38,38
40,1996,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,44,39,39
40,1997,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,45,40,40
