gwcode,year,infmort
2,1970,19.9
2,1971,19.1
2,1972,18.3
2,1973,17.5
2,1974,16.7
2,1975,15.9
2,1976,15.2
2,1977,14.5
2,1978,13.8
2,1979,13.2
2,1980,12.6
2,1981,12.1
2,1982,11.7
2,1983,11.3
2,1984,10.9
2,1985,10.6
2,1986,10.4
2,1987,10.1
2,1988,10
2,1989,9.7
2,1990,9.4
2,1991,9.1
2,1992,8.8
2,1993,8.5
2,1994,8.2
2,1995,8
2,1996,7.7
2,1997,7.5
2,1998,7.3
2,1999,7.2
2,2000,7.1
2,2001,7
2,2002,6.9
2,2003,6.8
2,2004,6.9
2,2005,6.8
2,2006,6.7
2,2007,6.5
2,2008,6.5
2,2009,6.4
2,2010,6.2
2,2011,6.1
2,2012,6.1
2,2013,6
2,2014,5.9
2,2015,5.8
2,2016,5.7
2,2017,5.7
20,1970,18.5
20,1971,17.6
20,1972,16.7
20,1973,15.9
20,1974,15
20,1975,14.2
20,1976,13.3
20,1977,12.5
20,1978,11.7
20,1979,11
20,1980,10.3
20,1981,9.7
20,1982,9.2
20,1983,8.7
20,1984,8.3
20,1985,8
20,1986,7.7
20,1987,7.5
20,1988,7.3
20,1989,7
20,1990,6.8
20,1991,6.6
20,1992,6.4
20,1993,6.2
20,1994,6
20,1995,5.8
20,1996,5.6
20,1997,5.5
20,1998,5.4
20,1999,5.3
20,2000,5.3
20,2001,5.2
20,2002,5.2
20,2003,5.2
20,2004,5.2
20,2005,5.2
20,2006,5.2
20,2007,5.1
20,2008,5
20,2009,5
20,2010,4.9
20,2011,4.8
20,2012,4.8
20,2013,4.8
20,2014,4.7
20,2015,4.7
20,2016,4.6
20,2017,4.5
40,1970,37.4
40,1971,34.5
40,1972,31
40,1973,27.9
40,1974,26.1
40,1975,24.8
40,1976,23.1
40,1977,20.8
40,1978,18.7
40,1979,17.4
40,1980,16.7
40,1981,16.5
40,1982,16.2
40,1983,16
40,1984,15.6
40,1985,15
40,1986,14.1
40,1987,13.2
40,1988,12.2
40,1989,11.3
40,1990,10.5
40,1991,9.8
40,1992,9.2
40,1993,8.8
40,1994,8.5
40,1995,8.3
40,1996,8.1
40,1997,7.6
40,1998,7.1
40,1999,6.6
40,2000,6.3
40,2001,6.1
40,2002,6
40,2003,6
40,2004,5.8
40,2005,5.6
40,2006,5.4
40,2007,5.1
40,2008,5
40,2009,4.8
40,2010,4.6
40,2011,4.5
40,2012,4.5
40,2013,4.4
40,2014,4.3
40,2015,4.3
40,2016,4.2
40,2017,4.1
41,1970,160.2
41,1971,156.9
41,1972,153.5
41,1973,150.1
41,1974,146.8
41,1975,143.5
41,1976,140.2
41,1977,136.9
41,1978,133.7
41,1979,130.5
41,1980,127.4
