gwcode,year,dv_v2x_freexp_altinf_change,dv_v2x_freexp_altinf_up_next2,dv_v2x_freexp_altinf_down_next2
2,1968,first year of independence,0,0
2,1969,same,0,0
2,1970,same,0,0
2,1971,same,0,0
2,1972,same,0,0
2,1973,same,0,0
2,1974,same,0,0
2,1975,same,0,0
2,1976,same,0,0
2,1977,same,0,0
2,1978,same,0,0
2,1979,same,0,0
2,1980,same,0,0
2,1981,same,0,0
2,1982,same,0,0
2,1983,same,0,0
2,1984,same,0,0
2,1985,same,0,0
2,1986,same,0,0
2,1987,same,0,0
2,1988,same,0,0
2,1989,same,0,0
2,1990,same,0,0
2,1991,same,0,0
2,1992,same,0,0
2,1993,same,0,0
2,1994,same,0,0
2,1995,same,0,0
2,1996,same,0,0
2,1997,same,0,0
2,1998,same,0,0
2,1999,same,0,0
2,2000,same,0,0
2,2001,same,0,0
2,2002,same,0,0
2,2003,same,0,0
2,2004,same,0,0
2,2005,same,0,0
2,2006,same,0,0
2,2007,same,0,0
2,2008,same,0,0
2,2009,same,0,0
2,2010,same,0,0
2,2011,same,0,0
2,2012,same,0,0
2,2013,same,0,0
2,2014,same,0,0
2,2015,same,0,0
2,2016,same,0,0
2,2017,same,0,0
2,2018,same,NA,NA
2,2019,same,NA,NA
20,1968,first year of independence,0,0
20,1969,same,0,0
20,1970,same,0,0
20,1971,same,0,0
20,1972,same,0,0
20,1973,same,0,0
20,1974,same,0,0
20,1975,same,0,0
20,1976,same,0,0
20,1977,same,0,0
20,1978,same,0,0
20,1979,same,0,0
20,1980,same,0,0
20,1981,same,0,0
20,1982,same,0,0
20,1983,same,0,0
20,1984,same,0,0
20,1985,same,0,0
20,1986,same,0,0
20,1987,same,0,0
20,1988,same,0,0
20,1989,same,0,0
20,1990,same,0,0
20,1991,same,0,0
20,1992,same,0,0
20,1993,same,0,0
20,1994,same,0,0
20,1995,same,0,0
20,1996,same,0,0
20,1997,same,0,0
20,1998,same,0,0
20,1999,same,0,0
20,2000,same,0,0
20,2001,same,0,0
20,2002,same,0,0
20,2003,same,0,0
20,2004,same,0,0
20,2005,same,0,0
20,2006,same,0,0
20,2007,same,0,0
20,2008,same,0,0
20,2009,same,0,0
20,2010,same,0,0
20,2011,same,0,0
20,2012,same,0,0
20,2013,same,0,0
20,2014,same,0,0
20,2015,same,0,0
20,2016,same,0,0
20,2017,same,0,0
20,2018,same,NA,NA
20,2019,same,NA,NA
40,1968,first year of independence,0,0
40,1969,same,0,0
40,1970,same,0,0
40,1971,same,0,0
40,1972,same,0,0
40,1973,same,0,0
40,1974,same,0,0
40,1975,same,0,0
40,1976,same,0,0
40,1977,same,0,0
40,1978,same,0,0
40,1979,same,0,0
40,1980,same,0,0
40,1981,same,0,0
40,1982,same,0,0
40,1983,same,0,0
40,1984,same,0,0
40,1985,same,0,0
40,1986,same,0,0
40,1987,same,0,0
40,1988,same,0,0
40,1989,same,0,0
40,1990,same,0,0
40,1991,same,0,0
40,1992,same,0,0
40,1993,same,0,0
40,1994,same,0,0
40,1995,same,0,0
40,1996,same,0,0
40,1997,same,0,0
40,1998,same,0,0
40,1999,same,0,0
40,2000,same,0,0
40,2001,same,0,0
40,2002,same,0,0
40,2003,same,0,0
40,2004,same,0,0
40,2005,same,0,0
40,2006,same,0,0
40,2007,same,0,0
40,2008,same,0,0
40,2009,same,0,0
40,2010,same,0,0
40,2011,same,0,0
40,2012,same,0,0
40,2013,same,0,0
40,2014,same,0,0
40,2015,same,0,0
40,2016,same,0,0
40,2017,same,0,0
40,2018,same,NA,NA
40,2019,same,NA,NA
41,1968,first year of independence,0,0
41,1969,same,0,0
41,1970,same,0,0
41,1971,same,0,0
41,1972,same,0,0
41,1973,same,0,0
41,1974,same,0,0
41,1975,same,0,0
41,1976,same,0,0
41,1977,same,0,0
41,1978,same,0,0
41,1979,same,0,0
41,1980,same,0,0
41,1981,same,0,0
41,1982,same,0,0
41,1983,same,0,0
41,1984,same,1,0
41,1985,same,1,0
41,1986,up,1,0
41,1987,up,0,0
41,1988,same,0,0
41,1989,same,1,0
41,1990,same,1,1
41,1991,up,0,1
41,1992,down,0,0
41,1993,same,1,0
41,1994,same,1,0
41,1995,up,0,0
41,1996,same,0,0
41,1997,same,0,0
41,1998,same,0,0
41,1999,same,0,0
