outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2x_freexp_altinf,2005,2006 - 2007,2,0.0011111111111111111,0.9977790123456791,0.0011111111111111111
v2x_freexp_altinf,2005,2006 - 2007,20,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,40,0.03,0.9689222222222222,0.0011111111111111111
v2x_freexp_altinf,2005,2006 - 2007,41,0.2411111111111111,0.6706329218106996,0.1162962962962963
v2x_freexp_altinf,2005,2006 - 2007,42,0.005555555555555556,0.9878148148148148,0.006666666666666667
v2x_freexp_altinf,2005,2006 - 2007,51,0.0022222222222222222,0.9944518518518519,0.0033333333333333335
v2x_freexp_altinf,2005,2006 - 2007,52,0.0022222222222222222,0.9933432098765431,0.0044444444444444444
v2x_freexp_altinf,2005,2006 - 2007,53,0.012222222222222223,0.98668024691358025,0.0011111111111111111
v2x_freexp_altinf,2005,2006 - 2007,70,0.016666666666666666,0.9612083333333333,0.0225
v2x_freexp_altinf,2005,2006 - 2007,90,0.025555555555555557,0.9560511610817167,0.018875661375661375
v2x_freexp_altinf,2005,2006 - 2007,91,0.06444444444444444,0.9028111111111111,0.035
v2x_freexp_altinf,2005,2006 - 2007,92,0.022222222222222223,0.9658271604938271,0.012222222222222223
v2x_freexp_altinf,2005,2006 - 2007,93,0.011111111111111112,0.9713086419753086,0.017777777777777778
v2x_freexp_altinf,2005,2006 - 2007,94,0.0044444444444444444,0.9800691358024691,0.015555555555555555
v2x_freexp_altinf,2005,2006 - 2007,95,0.01,0.9724,0.017777777777777778
v2x_freexp_altinf,2005,2006 - 2007,100,0.1688888888888889,0.813180658436214,0.021574074074074072
v2x_freexp_altinf,2005,2006 - 2007,101,0.2,0.6596740740740741,0.17540740740740743
v2x_freexp_altinf,2005,2006 - 2007,110,0.015925925925925923,0.9753267489711935,0.008888888888888889
v2x_freexp_altinf,2005,2006 - 2007,115,0.0011111111111111111,0.9902873456790123,0.008611111111111111
v2x_freexp_altinf,2005,2006 - 2007,130,0.01888888888888889,0.9669395061728395,0.014444444444444444
v2x_freexp_altinf,2005,2006 - 2007,135,0.0033333333333333335,0.9803324074074075,0.01638888888888889
v2x_freexp_altinf,2005,2006 - 2007,140,0.021111111111111112,0.9430869341563786,0.03657407407407407
v2x_freexp_altinf,2005,2006 - 2007,145,0.028888888888888888,0.8595412345679013,0.11488888888888887
v2x_freexp_altinf,2005,2006 - 2007,150,0.013333333333333334,0.9647407407407408,0.022222222222222223
