outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2x_freexp_altinf,2005,2006 - 2007,2,0.0033333333333333335,0.9944518518518519,0.0022222222222222222
v2x_freexp_altinf,2005,2006 - 2007,20,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,40,0.025185185185185185,0.9693991769547325,0.005555555555555556
v2x_freexp_altinf,2005,2006 - 2007,41,0.22666666666666666,0.6799962962962963,0.12069444444444444
v2x_freexp_altinf,2005,2006 - 2007,42,0.015555555555555555,0.9759672839506173,0.008611111111111111
v2x_freexp_altinf,2005,2006 - 2007,51,0.006666666666666667,0.9900222222222222,0.0033333333333333335
v2x_freexp_altinf,2005,2006 - 2007,52,0.0011111111111111111,0.9930620370370371,0.005833333333333334
v2x_freexp_altinf,2005,2006 - 2007,53,0.14185185185185187,0.8158764060356652,0.04925925925925926
v2x_freexp_altinf,2005,2006 - 2007,70,0.021111111111111112,0.972362962962963,0.006666666666666667
v2x_freexp_altinf,2005,2006 - 2007,90,0.051111111111111114,0.9367641975308642,0.012777777777777779
v2x_freexp_altinf,2005,2006 - 2007,91,0.06481481481481481,0.8946604938271605,0.043333333333333335
v2x_freexp_altinf,2005,2006 - 2007,92,0.02,0.9647555555555556,0.015555555555555555
v2x_freexp_altinf,2005,2006 - 2007,93,0.008888888888888889,0.9803714520870077,0.010835978835978834
v2x_freexp_altinf,2005,2006 - 2007,94,0.0033333333333333335,0.9903913580246915,0.0062962962962962955
v2x_freexp_altinf,2005,2006 - 2007,95,0.014444444444444444,0.9699509259259259,0.015833333333333335
v2x_freexp_altinf,2005,2006 - 2007,100,0.13814814814814813,0.7641156132756133,0.1134025974025974
v2x_freexp_altinf,2005,2006 - 2007,101,0.198526936026936,0.6569704389574761,0.1802962962962963
v2x_freexp_altinf,2005,2006 - 2007,110,0.013333333333333334,0.9811851851851853,0.005555555555555556
v2x_freexp_altinf,2005,2006 - 2007,115,0.0033333333333333335,0.9711962962962963,0.025555555555555557
v2x_freexp_altinf,2005,2006 - 2007,130,0.16712962962962963,0.8087325531550068,0.02898148148148148
v2x_freexp_altinf,2005,2006 - 2007,135,0.011111111111111112,0.9694041152263375,0.019703703703703702
v2x_freexp_altinf,2005,2006 - 2007,140,0.028888888888888888,0.9265119341563787,0.04592592592592592
v2x_freexp_altinf,2005,2006 - 2007,145,0.17222222222222222,0.7431911522633745,0.10218518518518518
v2x_freexp_altinf,2005,2006 - 2007,150,0.008888888888888889,0.9782266666666667,0.013
v2x_freexp_altinf,2005,2006 - 2007,155,0.0033333333333333335,0.9867,0.01
v2x_freexp_altinf,2005,2006 - 2007,160,0.020555555555555556,0.9338095884773662,0.04659259259259259
v2x_freexp_altinf,2005,2006 - 2007,165,0.01,0.9801,0.01
v2x_freexp_altinf,2005,2006 - 2007,200,0.0011111111111111111,0.9955592592592594,0.0033333333333333335
v2x_freexp_altinf,2005,2006 - 2007,205,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,210,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,211,0,0.9955555555555555,0.0044444444444444444
v2x_freexp_altinf,2005,2006 - 2007,212,0.0011111111111111111,0.9988888888888889,0
v2x_freexp_altinf,2005,2006 - 2007,220,0,0.9987037037037036,0.0012962962962962965
v2x_freexp_altinf,2005,2006 - 2007,225,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,230,0.0011111111111111111,0.9944493827160494,0.0044444444444444444
v2x_freexp_altinf,2005,2006 - 2007,235,0.01,0.979,0.011111111111111112
v2x_freexp_altinf,2005,2006 - 2007,260,0.0022222222222222222,0.9944518518518519,0.0033333333333333335
v2x_freexp_altinf,2005,2006 - 2007,290,0.0044444444444444444,0.9844938271604938,0.011111111111111112
v2x_freexp_altinf,2005,2006 - 2007,305,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,310,0.0044444444444444444,0.9796266666666666,0.016
v2x_freexp_altinf,2005,2006 - 2007,316,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,317,0.0011111111111111111,0.9988888888888889,0
v2x_freexp_altinf,2005,2006 - 2007,325,0.0033333333333333335,0.9966666666666667,0
v2x_freexp_altinf,2005,2006 - 2007,339,0.045925925925925926,0.9381728395061728,0.016666666666666666
v2x_freexp_altinf,2005,2006 - 2007,343,0.07222222222222222,0.809923001175779,0.12702910052910052
v2x_freexp_altinf,2005,2006 - 2007,344,0.017777777777777778,0.9548837037037037,0.027833333333333335
v2x_freexp_altinf,2005,2006 - 2007,345,0.01,0.9486583333333333,0.04175925925925926
v2x_freexp_altinf,2005,2006 - 2007,346,0.058888888888888886,0.8946132510288065,0.04940740740740741
v2x_freexp_altinf,2005,2006 - 2007,349,0.010277777777777778,0.8911165637860082,0.09962962962962964
v2x_freexp_altinf,2005,2006 - 2007,350,0,0.9966666666666667,0.0033333333333333335
v2x_freexp_altinf,2005,2006 - 2007,352,0.013333333333333334,0.9797234567901234,0.007037037037037038
v2x_freexp_altinf,2005,2006 - 2007,355,0.0077777777777777776,0.9734802469135803,0.01888888888888889
v2x_freexp_altinf,2005,2006 - 2007,359,0.24222222222222223,0.6752922633744856,0.10885185185185185
v2x_freexp_altinf,2005,2006 - 2007,360,0.19907407407407407,0.7519272321068345,0.061177559912854035
v2x_freexp_altinf,2005,2006 - 2007,365,0.1634722222222222,0.7305675925925925,0.12666666666666668
v2x_freexp_altinf,2005,2006 - 2007,366,0.0011111111111111111,0.9966691358024692,0.0022222222222222222
v2x_freexp_altinf,2005,2006 - 2007,367,0.0011111111111111111,0.9800209876543211,0.01888888888888889
v2x_freexp_altinf,2005,2006 - 2007,368,0.0022222222222222222,0.9889086419753087,0.008888888888888889
v2x_freexp_altinf,2005,2006 - 2007,369,0.2338888888888889,0.6189225205761316,0.19212433862433861
v2x_freexp_altinf,2005,2006 - 2007,370,0.13166666666666665,0.81801452991453,0.05794871794871795
v2x_freexp_altinf,2005,2006 - 2007,371,0.12777777777777777,0.7679417168101809,0.11955726735138501
v2x_freexp_altinf,2005,2006 - 2007,372,0.11222222222222222,0.8423465167548501,0.05117413632119514
v2x_freexp_altinf,2005,2006 - 2007,373,0.16490740740740742,0.7385377731236528,0.11562169312169311
v2x_freexp_altinf,2005,2006 - 2007,375,0.0011111111111111111,0.9900098765432099,0.008888888888888889
v2x_freexp_altinf,2005,2006 - 2007,380,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,385,0.0011111111111111111,0.9955592592592594,0.0033333333333333335
v2x_freexp_altinf,2005,2006 - 2007,390,0.0033333333333333335,0.9966666666666667,0
v2x_freexp_altinf,2005,2006 - 2007,395,0.0011111111111111111,0.9988888888888889,0
v2x_freexp_altinf,2005,2006 - 2007,402,0.0011111111111111111,0.9966691358024692,0.0022222222222222222
v2x_freexp_altinf,2005,2006 - 2007,404,0.10611111111111111,0.8515119341563785,0.047407407407407405
v2x_freexp_altinf,2005,2006 - 2007,411,0.01425925925925926,0.9725975308641975,0.013333333333333334
v2x_freexp_altinf,2005,2006 - 2007,420,0.029629629629629627,0.9662612711476909,0.004234567901234568
v2x_freexp_altinf,2005,2006 - 2007,432,0.0044444444444444444,0.992237037037037,0.0033333333333333335
v2x_freexp_altinf,2005,2006 - 2007,433,0.0011111111111111111,0.9977790123456791,0.0011111111111111111
v2x_freexp_altinf,2005,2006 - 2007,434,0.035555555555555556,0.88800329218107,0.07925925925925927
v2x_freexp_altinf,2005,2006 - 2007,435,0.28888888888888886,0.6459917695473252,0.09157407407407409
v2x_freexp_altinf,2005,2006 - 2007,436,0.021111111111111112,0.9174001646090536,0.06281481481481481
v2x_freexp_altinf,2005,2006 - 2007,437,0.06333333333333334,0.8761302469135802,0.06462962962962963
v2x_freexp_altinf,2005,2006 - 2007,438,0.11333333333333333,0.8735965432098766,0.01474074074074074
v2x_freexp_altinf,2005,2006 - 2007,439,0.027777777777777776,0.966820987654321,0.005555555555555556
v2x_freexp_altinf,2005,2006 - 2007,450,0.17777777777777778,0.7653736037624926,0.06914021164021164
v2x_freexp_altinf,2005,2006 - 2007,451,0.025555555555555557,0.9350155349794239,0.04046296296296297
v2x_freexp_altinf,2005,2006 - 2007,452,0.005555555555555556,0.9883672839506173,0.006111111111111111
v2x_freexp_altinf,2005,2006 - 2007,461,0.4066666666666667,0.5181777777777777,0.12666666666666668
v2x_freexp_altinf,2005,2006 - 2007,471,0.1898148148148148,0.764769804526749,0.05605555555555556
v2x_freexp_altinf,2005,2006 - 2007,475,0.025555555555555557,0.9546487860082304,0.020314814814814813
v2x_freexp_altinf,2005,2006 - 2007,481,0.023333333333333334,0.9712407407407407,0.005555555555555556
v2x_freexp_altinf,2005,2006 - 2007,482,0.16277777777777777,0.7921052469135802,0.05388888888888889
v2x_freexp_altinf,2005,2006 - 2007,483,0.49107407407407416,0.48461057613168707,0.04777777777777778
v2x_freexp_altinf,2005,2006 - 2007,484,0.022222222222222223,0.9690864197530864,0.008888888888888889
v2x_freexp_altinf,2005,2006 - 2007,490,0.18833333333333332,0.7724361111111111,0.04833333333333333
v2x_freexp_altinf,2005,2006 - 2007,500,0.12666666666666668,0.8390307407407407,0.03927777777777778
v2x_freexp_altinf,2005,2006 - 2007,501,0.10383597883597884,0.871021641681364,0.028055555555555556
v2x_freexp_altinf,2005,2006 - 2007,510,0.09861111111111111,0.8304128600823045,0.07874074074074075
v2x_freexp_altinf,2005,2006 - 2007,516,0.26,0.5596592592592593,0.24370370370370367
v2x_freexp_altinf,2005,2006 - 2007,517,0.191141975308642,0.6266068719883227,0.2253190883190883
v2x_freexp_altinf,2005,2006 - 2007,520,0.32225925925925925,0.6111500235155791,0.09825396825396826
v2x_freexp_altinf,2005,2006 - 2007,522,0.06472222222222222,0.9044482510288065,0.032962962962962965
v2x_freexp_altinf,2005,2006 - 2007,530,0.07666666666666666,0.7986623059623592,0.13502277332596482
v2x_freexp_altinf,2005,2006 - 2007,531,0.013148148148148148,0.9646111351165981,0.022537037037037036
v2x_freexp_altinf,2005,2006 - 2007,540,0.16375,0.8258245287698412,0.012466931216931217
v2x_freexp_altinf,2005,2006 - 2007,541,0.06444444444444444,0.8547544257388702,0.08636700336700337
v2x_freexp_altinf,2005,2006 - 2007,551,0.1111111111111111,0.7761077441077441,0.1268787878787879
v2x_freexp_altinf,2005,2006 - 2007,552,0.08916666666666667,0.745643587962963,0.1813611111111111
v2x_freexp_altinf,2005,2006 - 2007,553,0.1198148148148148,0.8198994855967078,0.06849206349206349
v2x_freexp_altinf,2005,2006 - 2007,560,0.0022222222222222222,0.9955604938271605,0.0022222222222222222
v2x_freexp_altinf,2005,2006 - 2007,565,0.0022222222222222222,0.9750506172839506,0.02277777777777778
v2x_freexp_altinf,2005,2006 - 2007,570,0.008888888888888889,0.9869264197530865,0.004222222222222222
v2x_freexp_altinf,2005,2006 - 2007,571,0.0033333333333333335,0.9964451851851852,2.2222222222222223e-4
v2x_freexp_altinf,2005,2006 - 2007,572,0.12097222222222222,0.8624239197530864,0.01888888888888889
v2x_freexp_altinf,2005,2006 - 2007,580,0.03333333333333333,0.9204098765432099,0.04785185185185185
v2x_freexp_altinf,2005,2006 - 2007,581,0.045925925925925926,0.9342858710562414,0.020740740740740737
v2x_freexp_altinf,2005,2006 - 2007,590,0.0022222222222222222,0.9866913580246914,0.011111111111111112
v2x_freexp_altinf,2005,2006 - 2007,600,0.18777777777777777,0.7855675308641975,0.032816993464052285
v2x_freexp_altinf,2005,2006 - 2007,615,0.12555555555555556,0.8587368312757202,0.017962962962962965
v2x_freexp_altinf,2005,2006 - 2007,616,0.034444444444444444,0.9358736625514403,0.03074074074074074
v2x_freexp_altinf,2005,2006 - 2007,620,0.0022222222222222222,0.9966691358024692,0.0011111111111111111
v2x_freexp_altinf,2005,2006 - 2007,625,0.5148888888888888,0.44912305349794246,0.07418518518518519
v2x_freexp_altinf,2005,2006 - 2007,630,0.15866666666666668,0.6699506172839506,0.2037037037037037
v2x_freexp_altinf,2005,2006 - 2007,640,0.06666666666666667,0.887358024691358,0.04925925925925925
v2x_freexp_altinf,2005,2006 - 2007,645,0.24333333333333335,0.6556096296296295,0.13355555555555557
v2x_freexp_altinf,2005,2006 - 2007,651,0.10281481481481482,0.8727618106995885,0.02722222222222222
v2x_freexp_altinf,2005,2006 - 2007,652,0.03666666666666667,0.9590518518518518,0.0044444444444444444
v2x_freexp_altinf,2005,2006 - 2007,660,0.3281666666666667,0.6305280246913579,0.061481481481481484
v2x_freexp_altinf,2005,2006 - 2007,663,0.3581481481481481,0.6318674897119342,0.015555555555555555
v2x_freexp_altinf,2005,2006 - 2007,666,0.0017777777777777779,0.9971130864197532,0.0011111111111111111
v2x_freexp_altinf,2005,2006 - 2007,670,0.09925925925925927,0.8881777777777778,0.013947368421052632
v2x_freexp_altinf,2005,2006 - 2007,678,0.0636111111111111,0.9299605048500882,0.006865079365079366
v2x_freexp_altinf,2005,2006 - 2007,690,0.017777777777777778,0.9537047619047619,0.029033613445378154
v2x_freexp_altinf,2005,2006 - 2007,694,0.014444444444444444,0.97789012345679,0.0077777777777777776
v2x_freexp_altinf,2005,2006 - 2007,696,0.0918888888888889,0.8261769062316284,0.09022486772486774
v2x_freexp_altinf,2005,2006 - 2007,698,0.06972222222222221,0.9149798765432098,0.016444444444444446
v2x_freexp_altinf,2005,2006 - 2007,700,0.2477777777777778,0.645155925925926,0.14233333333333334
v2x_freexp_altinf,2005,2006 - 2007,701,0.014444444444444444,0.976795061728395,0.008888888888888889
v2x_freexp_altinf,2005,2006 - 2007,702,0.2276851851851852,0.5836697702331961,0.24425925925925926
v2x_freexp_altinf,2005,2006 - 2007,703,0.36379629629629623,0.5763534293552813,0.09407407407407406
v2x_freexp_altinf,2005,2006 - 2007,704,0.06594444444444444,0.8774933024691357,0.06055555555555556
v2x_freexp_altinf,2005,2006 - 2007,705,0.07629629629629629,0.8785448559670782,0.04888888888888889
v2x_freexp_altinf,2005,2006 - 2007,710,0.17277777777777778,0.7829658333333334,0.0535
v2x_freexp_altinf,2005,2006 - 2007,712,0.022222222222222223,0.9469958847736626,0.03148148148148148
v2x_freexp_altinf,2005,2006 - 2007,713,0.016666666666666666,0.9606620370370369,0.023055555555555555
v2x_freexp_altinf,2005,2006 - 2007,731,0.0033333333333333335,0.9966666666666667,0
v2x_freexp_altinf,2005,2006 - 2007,732,0,0.9988888888888889,0.0011111111111111111
v2x_freexp_altinf,2005,2006 - 2007,740,0.0077777777777777776,0.9811187830687831,0.01119047619047619
v2x_freexp_altinf,2005,2006 - 2007,750,0.01888888888888889,0.9310149831649832,0.051060606060606056
v2x_freexp_altinf,2005,2006 - 2007,760,0.3175740740740741,0.6680191563786008,0.021111111111111112
v2x_freexp_altinf,2005,2006 - 2007,770,0.13333333333333333,0.8420950617283951,0.02835185185185185
v2x_freexp_altinf,2005,2006 - 2007,771,0.019444444444444445,0.9222471540119688,0.059464658797992134
v2x_freexp_altinf,2005,2006 - 2007,775,0.0044444444444444444,0.9944493827160494,0.0011111111111111111
v2x_freexp_altinf,2005,2006 - 2007,780,0.2164814814814815,0.5682685699588478,0.2747222222222222
v2x_freexp_altinf,2005,2006 - 2007,781,0.6244444444444445,0.31883275720164606,0.15103703703703705
v2x_freexp_altinf,2005,2006 - 2007,790,0.3738333333333333,0.5342593148148149,0.14677777777777778
v2x_freexp_altinf,2005,2006 - 2007,800,0.1613888888888889,0.6908387543526433,0.1762108262108262
v2x_freexp_altinf,2005,2006 - 2007,811,0.043333333333333335,0.9357617283950617,0.021851851851851848
v2x_freexp_altinf,2005,2006 - 2007,812,0.014333333333333333,0.9801907407407408,0.005555555555555556
v2x_freexp_altinf,2005,2006 - 2007,816,0.21259259259259258,0.7375382716049383,0.06333333333333334
v2x_freexp_altinf,2005,2006 - 2007,820,0.3239814814814815,0.6604325360082305,0.023055555555555555
v2x_freexp_altinf,2005,2006 - 2007,830,0.010444444444444445,0.9663926255144032,0.023407407407407408
v2x_freexp_altinf,2005,2006 - 2007,840,0.03361111111111111,0.9200738065843621,0.04792592592592593
v2x_freexp_altinf,2005,2006 - 2007,850,0.017777777777777778,0.9297460905349795,0.053425925925925925
v2x_freexp_altinf,2005,2006 - 2007,860,0.07055555555555555,0.8051226440329218,0.13375925925925927
v2x_freexp_altinf,2005,2006 - 2007,900,0.0044444444444444444,0.9955555555555555,0
v2x_freexp_altinf,2005,2006 - 2007,910,0.0011111111111111111,0.9966691358024692,0.0022222222222222222
v2x_freexp_altinf,2005,2006 - 2007,920,0.0011111111111111111,0.9977790123456791,0.0011111111111111111
v2x_freexp_altinf,2005,2006 - 2007,940,0.14944444444444444,0.7085127777777777,0.167
v2x_freexp_altinf,2005,2006 - 2007,950,0.006111111111111111,0.9729638939010237,0.021053656220322885
v2x_freexp_altinf,2006,2007 - 2008,2,0.012962962962962963,0.9782633744855967,0.008888888888888889
v2x_freexp_altinf,2006,2007 - 2008,20,0.0011111111111111111,0.9933395061728396,0.005555555555555556
v2x_freexp_altinf,2006,2007 - 2008,40,0.008148148148148147,0.9890967078189301,0.002777777777777778
v2x_freexp_altinf,2006,2007 - 2008,41,0.2159259259259259,0.7229453360768175,0.07796296296296296
v2x_freexp_altinf,2006,2007 - 2008,42,0.027777777777777776,0.9614197530864198,0.011111111111111112
v2x_freexp_altinf,2006,2007 - 2008,51,0.0022222222222222222,0.9944518518518519,0.0033333333333333335
v2x_freexp_altinf,2006,2007 - 2008,52,0,0.9948148148148148,0.005185185185185184
v2x_freexp_altinf,2006,2007 - 2008,53,0.06731970498637166,0.9157538748448625,0.018148148148148146
v2x_freexp_altinf,2006,2007 - 2008,70,0.06231481481481481,0.8539881001371742,0.08925925925925927
v2x_freexp_altinf,2006,2007 - 2008,90,0.0351521164021164,0.9472662110523222,0.01822222222222222
v2x_freexp_altinf,2006,2007 - 2008,91,0.07555555555555556,0.902874074074074,0.023333333333333334
v2x_freexp_altinf,2006,2007 - 2008,92,0.025555555555555557,0.9500833333333333,0.025
v2x_freexp_altinf,2006,2007 - 2008,93,0.08722222222222223,0.6828930041152264,0.2518518518518519
v2x_freexp_altinf,2006,2007 - 2008,94,0.0011111111111111111,0.9840905349794239,0.014814814814814814
v2x_freexp_altinf,2006,2007 - 2008,95,0.0022222222222222222,0.9944518518518519,0.0033333333333333335
v2x_freexp_altinf,2006,2007 - 2008,100,0.06133333333333334,0.843664329218107,0.10120987654320987
v2x_freexp_altinf,2006,2007 - 2008,101,0.1947222222222222,0.7123725823045267,0.11537037037037036
v2x_freexp_altinf,2006,2007 - 2008,110,0.04666666666666667,0.9288740740740741,0.025656565656565655
v2x_freexp_altinf,2006,2007 - 2008,115,0.0022222222222222222,0.9889086419753087,0.008888888888888889
